image_path,filename,simulation_set,orientation,case_norm,plot,truth_PAI,truth_LAI,truth_Clumping,truth_sim_id
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 004/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 004,Plot04,2.135,2.0,0.96,4
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 005/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 005,Plot04,2.135,2.0,0.96,5
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 006/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 006,Plot04,2.135,2.0,0.96,6
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 007/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 007,Plot04,2.06,2.0,0.98,7
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 008/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 008,Plot04,0.56,0.5,0.93,8
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 009/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 009,Plot04,2.635,2.5,0.97,9
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 010/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 010,Plot04,4.289999999999999,3.6,0.9,10
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 011/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 011,Plot04,3.0999999999999996,2.2,0.82,11
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 012/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 012,Plot04,3.205,2.5,0.86,12
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test45.png,test45.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test46.png,test46.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test47.png,test47.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test48.png,test48.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 013/Plot04/test49.png,test49.png,DHP - ERECT - 4000x4000,ERECT,Case 013,Plot04,4.24,4.0,0.96,13
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 014/Plot04/test40.png,test40.png,DHP - ERECT - 4000x4000,ERECT,Case 014,Plot04,2.82,2.1,1.0,14
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 014/Plot04/test41.png,test41.png,DHP - ERECT - 4000x4000,ERECT,Case 014,Plot04,2.82,2.1,1.0,14
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 014/Plot04/test42.png,test42.png,DHP - ERECT - 4000x4000,ERECT,Case 014,Plot04,2.82,2.1,1.0,14
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 014/Plot04/test43.png,test43.png,DHP - ERECT - 4000x4000,ERECT,Case 014,Plot04,2.82,2.1,1.0,14
Simulations/DHP - ERECT - 4000x4000/DHP - ERECT - 4000x4000/Case 014/Plot04/test44.png,test44.png,DHP - ERECT - 4000x4000,ERECT,Case 014,Plot04,2.82,2.1,1.0,14
