image_path,filename,simulation_set,orientation,case_norm,plot,truth_PAI,truth_LAI,truth_Clumping,truth_sim_id,truth_PAIe_hinge,truth_Clumping_hinge
Simulations/RND/Case 005/test5.png,test5.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test6.png,test6.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test7.png,test7.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test8.png,test8.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 005/test9.png,test9.png,RND,RND,Case 005,,2.135,2.0,0.96,5,,
Simulations/RND/Case 006/test0.png,test0.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test1.png,test1.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test2.png,test2.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test3.png,test3.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test4.png,test4.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test5.png,test5.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test6.png,test6.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test7.png,test7.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test8.png,test8.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 006/test9.png,test9.png,RND,RND,Case 006,,2.135,2.0,0.96,6,,
Simulations/RND/Case 007/test1.png,test1.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test2.png,test2.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test3.png,test3.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test4.png,test4.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test5.png,test5.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test6.png,test6.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test7.png,test7.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test8.png,test8.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 007/test9.png,test9.png,RND,RND,Case 007,,2.06,2.0,0.98,7,,
Simulations/RND/Case 008/test0.png,test0.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test1.png,test1.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test2.png,test2.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test3.png,test3.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test4.png,test4.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test5.png,test5.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test6.png,test6.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test7.png,test7.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test8.png,test8.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 008/test9.png,test9.png,RND,RND,Case 008,,0.56,0.5,0.93,8,,
Simulations/RND/Case 009/test0.png,test0.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test1.png,test1.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test2.png,test2.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test3.png,test3.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test4.png,test4.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test5.png,test5.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test6.png,test6.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test7.png,test7.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test8.png,test8.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 009/test9.png,test9.png,RND,RND,Case 009,,2.635,2.5,0.97,9,,
Simulations/RND/Case 010/test0.png,test0.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test1.png,test1.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test2.png,test2.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test3.png,test3.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test4.png,test4.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test5.png,test5.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test6.png,test6.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test7.png,test7.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test8.png,test8.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
Simulations/RND/Case 010/test9.png,test9.png,RND,RND,Case 010,,4.289999999999999,3.6,0.9,10,,
